Week,county,weighted_avg
2024-05-21,Okanogan County,0.9999999999999993
2024-05-21,Pierce County,0.9999999999999999
2024-05-21,Thurston County,1.0000000099999995
2024-05-21,Walla Walla County,0.9999999900000001
2024-05-21,Whitman County,1.00000001
2024-05-21,Yakima County,1.0
2024-05-28,Benton County,1.00000001
2024-05-28,Chelan County,0.9999999899999994
2024-05-28,Franklin County,1.0000000117979804
2024-05-28,Island County,1.0000000070570043
2024-05-28,Jefferson County,1.00000005
2024-05-28,Kittitas County,0.9999999900000001
2024-05-28,Okanogan County,1.00000001
2024-05-28,Pierce County,1.0
2024-05-28,Spokane County,0.9999999999999999
2024-05-28,Thurston County,1.0000000058996052
2024-05-28,Walla Walla County,1.00000001
2024-05-28,Whitman County,0.9999999999999999
2024-05-28,Yakima County,1.0000000137400977
2024-06-04,Benton County,0.9999999899999994
2024-06-04,Chelan County,0.9999999999999997
2024-06-04,Franklin County,0.9999999900000001
2024-06-04,Island County,1.000000002871269
2024-06-04,Jefferson County,0.9999999999999999
2024-06-04,Kittitas County,0.9999999900000001
2024-06-04,Okanogan County,0.9999999999999997
2024-06-04,Pierce County,0.99999999
2024-06-04,Thurston County,0.9999999999999998
2024-06-04,Walla Walla County,0.99999999
2024-06-04,Whitman County,0.99999999
2024-06-04,Yakima County,1.000000000591037
2024-06-11,Benton County,0.9999999999999998
2024-06-11,Chelan County,1.00000001
2024-06-11,Franklin County,1.0000000199999999
2024-06-11,Island County,0.999999983843605
2024-06-11,Jefferson County,1.00000001
2024-06-11,King County,1.0000000199999999
2024-06-11,Kittitas County,1.0000000066730874
2024-06-11,Okanogan County,0.9999999997465174
2024-06-11,Pierce County,0.9999999899999997
2024-06-11,Spokane County,0.99999999
2024-06-11,Thurston County,0.9999999982007874
2024-06-11,Walla Walla County,1.0000000099999993
2024-06-11,Whitman County,1.0000000099999997
2024-06-11,Yakima County,0.9999999968700489
2024-06-18,Benton County,0.9999999899999998
2024-06-18,Chelan County,1.0000000083989968
2024-06-18,Franklin County,0.9999999980336693
2024-06-18,Island County,0.9999999899999997
2024-06-18,Jefferson County,1.0
2024-06-18,King County,0.99999999
2024-06-18,Kittitas County,1.0000000016634556
2024-06-18,Okanogan County,0.99999999
2024-06-18,Pierce County,0.9999999993165126
2024-06-18,Spokane County,0.9999999999999998
2024-06-18,Thurston County,0.9999999941003938
2024-06-18,Whitman County,1.0000000199999999
2024-06-18,Yakima County,1.0000000031299505
2024-06-25,Benton County,0.9999999983054867
2024-06-25,Chelan County,1.000000006797994
2024-06-25,Franklin County,1.0
2024-06-25,Island County,1.0000000019218018
2024-06-25,Jefferson County,0.9999999999999998
2024-06-25,King County,0.99999999
2024-06-25,Kittitas County,1.0000000099999997
2024-06-25,Okanogan County,0.9999999902534821
2024-06-25,Pierce County,1.0
2024-06-25,Spokane County,1.0
2024-06-25,Thurston County,0.9999999999999996
2024-06-25,Walla Walla County,0.9999999979481276
2024-06-25,Whitman County,0.9999999899999998
2024-06-25,Yakima County,0.9999999849862796
