Lab_ID	Sample_ID	Sample_Collection_Date	Sample_Site	Variant_name	Variant_proportion	Pipeline_date
LAB0000004	1000003	2024-06-05	D	KP.2.3	0.24861202	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.2	0.33442363	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.3.1	0.11707117	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.1	0.04682697	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.1.6	0.0542855	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.3.3	0.04421935	2024-06-12
LAB0000004	1000003	2024-06-05	D	KR.1	0.03268124	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.11.1	0.03106455	2024-06-12
LAB0000004	1000003	2024-06-05	D	KR.1.1	0.02963851	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.3	0.01794355	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.2.15	0.00424547	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.29.1	0.00268793	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.4	0.00285205	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.55	0.00314481	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.14	0.00186264	2024-06-12
LAB0000004	1000003	2024-06-05	D	LF.2	0.00188525	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.26	0.00151844	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.58.1	0.00123141	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.2.2	0.00142044	2024-06-12
LAB0000004	1000003	2024-06-05	D	JN.1.43.1	0.00153398	2024-06-12
LAB0000004	1000003	2024-06-05	D	KP.1.1.1	0.00103746	2024-06-12
LAB0000004	1000003	2024-06-05	D	KS.1.1	0.00123133	2024-06-12
LAB0000004	1000003	2024-06-05	D	unreportable	0.01858231	2024-06-12
LAB0000005	1000004	2024-06-04	T	KP.2.10	0.27739061	2024-06-12
LAB0000005	1000004	2024-06-04	T	KP.3.2	0.1811196	2024-06-12
LAB0000005	1000004	2024-06-04	T	JN.1.16.1	0.20788158	2024-06-12
LAB0000005	1000004	2024-06-04	T	KP.3.1	0.09632529	2024-06-12
LAB0000005	1000004	2024-06-04	T	KR.1	0.12521291	2024-06-12
LAB0000005	1000004	2024-06-04	T	KP.3	0.03948734	2024-06-12
LAB0000005	1000004	2024-06-04	T	KP.2.9	0.046078	2024-06-12
LAB0000005	1000004	2024-06-04	T	LF.2	0.00626718	2024-06-12
LAB0000005	1000004	2024-06-04	T	KP.3.2.2	0.00257318	2024-06-12
LAB0000005	1000004	2024-06-04	T	JN.1.58.2	0.00252222	2024-06-12
LAB0000005	1000004	2024-06-04	T	KP.1.2	0.00120324	2024-06-12
LAB0000005	1000004	2024-06-04	T	LF.3	0.00156592	2024-06-12
LAB0000005	1000004	2024-06-04	T	JN.1.51.1	0.00154862	2024-06-12
LAB0000005	1000004	2024-06-04	T	LA.1	0.00193483	2024-06-12
LAB0000005	1000004	2024-06-04	T	LF.1.1	0.0009691	2024-06-12
LAB0000005	1000004	2024-06-04	T	JN.1.5	0.00085547	2024-06-12
LAB0000005	1000004	2024-06-04	T	unreportable	0.00706492	2024-06-12
LAB0000006	1000005	2024-06-05	J	KP.3	0.69167927	2024-06-12
LAB0000006	1000005	2024-06-05	J	KP.1.1.3	0.30624875	2024-06-12
LAB0000006	1000005	2024-06-05	J	unreportable	0.00207198	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.4.4	0.25083289	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.18	0.23079941	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.2.3	0.26968293	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.16.1	0.06945735	2024-06-12
LAB0000007	1000006	2024-06-05	V	LF.1	0.07400312	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.2.7	0.05213557	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.2.2	0.00828658	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.18.4	0.00555787	2024-06-12
LAB0000007	1000006	2024-06-05	V	LF.2	0.00399269	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.2.10	0.00314422	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.58.2	0.00225447	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.4.2	0.00136814	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.55	0.0013696	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.3.1.1	0.00129953	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.34	0.00118541	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.4.2.2	0.00134086	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.2.3.1	0.00142232	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.54.1	0.00177351	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.2.8	0.00114855	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.49.1	0.00116441	2024-06-12
LAB0000007	1000006	2024-06-05	V	KY.1	0.00108891	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.10	0.00075212	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.4.5	0.00108722	2024-06-12
LAB0000007	1000006	2024-06-05	V	KP.4.1	0.00110475	2024-06-12
LAB0000007	1000006	2024-06-05	V	JN.1.38	0.00164009	2024-06-12
LAB0000007	1000006	2024-06-05	V	LF.1.1	0.00095416	2024-06-12
LAB0000007	1000006	2024-06-05	V	unreportable	0.01115331	2024-06-12
LAB0000008	1000007	2024-06-05	U	KP.3.1.1	0.68772016	2024-06-12
LAB0000008	1000007	2024-06-05	U	KP.3	0.30243194	2024-06-12
LAB0000008	1000007	2024-06-05	U	unreportable	0.0098479	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.5	0.33378257	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.1.2	0.33640291	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.11.1	0.01744791	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2	0.0277062	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2.7	0.01581134	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2.15	0.02353453	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.1.1.3	0.03243339	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.4	0.01716702	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.4.2	0.01868718	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2.6	0.02134949	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2.14	0.01892346	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.1.1	0.01534769	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2.5	0.02121715	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2.10	0.01692237	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.11	0.0230074	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.1	0.01741292	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.2.8	0.00743681	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.23	0.00246551	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.12	0.00202137	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.7.5	0.0021726	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.18.4	0.00131136	2024-06-12
LAB0000009	1000008	2024-06-06	Z	KP.4.2.2	0.00124273	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.43	0.00145751	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.19	0.0008054	2024-06-12
LAB0000009	1000008	2024-06-06	Z	JN.1.55	0.00102556	2024-06-12
LAB0000009	1000008	2024-06-06	Z	LF.2	0.00095688	2024-06-12
LAB0000009	1000008	2024-06-06	Z	unreportable	0.02195074	2024-06-12
LAB0000010	1000009	2024-06-06	N	KP.2.3	0.96763662	2024-06-12
LAB0000010	1000009	2024-06-06	N	JN.1.58.1	0.0026651	2024-06-12
LAB0000010	1000009	2024-06-06	N	LF.2	0.00370122	2024-06-12
LAB0000010	1000009	2024-06-06	N	KP.1.1.3	0.00283963	2024-06-12
LAB0000010	1000009	2024-06-06	N	JN.1.46	0.00243482	2024-06-12
LAB0000010	1000009	2024-06-06	N	JN.1.10	0.00228451	2024-06-12
LAB0000010	1000009	2024-06-06	N	KR.4	0.00172967	2024-06-12
LAB0000010	1000009	2024-06-06	N	KP.2.2	0.00206972	2024-06-12
LAB0000010	1000009	2024-06-06	N	JN.1.35	0.0013672	2024-06-12
LAB0000010	1000009	2024-06-06	N	unreportable	0.01327151	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.3.1	0.61395649	2024-06-12
LAB0000011	1000010	2024-06-06	R	XDK.5	0.27504493	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.2.9	0.05980442	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.1.2	0.03022275	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.3	0.0109574	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.1.1.1	0.00246991	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.1.1.3	0.00118484	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.3.2.2	0.00077203	2024-06-12
LAB0000011	1000010	2024-06-06	R	KP.4.1	0.00102668	2024-06-12
LAB0000011	1000010	2024-06-06	R	unreportable	0.00456054	2024-06-12
LAB0000012	1000011	2024-06-06	P	KP.3	0.39575291	2024-06-12
LAB0000012	1000011	2024-06-06	P	LB.1	0.30027456	2024-06-12
LAB0000012	1000011	2024-06-06	P	KP.2.3	0.17924369	2024-06-12
LAB0000012	1000011	2024-06-06	P	JN.1.16.1	0.09958124	2024-06-12
LAB0000012	1000011	2024-06-06	P	KP.2.15	0.0056342	2024-06-12
LAB0000012	1000011	2024-06-06	P	JN.1.58.2	0.00130206	2024-06-12
LAB0000012	1000011	2024-06-06	P	KP.2.2	0.00131275	2024-06-12
LAB0000012	1000011	2024-06-06	P	LF.2	0.00126053	2024-06-12
LAB0000012	1000011	2024-06-06	P	KY.1	0.00120122	2024-06-12
LAB0000012	1000011	2024-06-06	P	KP.1.1.1	0.00120891	2024-06-12
LAB0000012	1000011	2024-06-06	P	JN.1.55.1	0.00091077	2024-06-12
LAB0000012	1000011	2024-06-06	P	unreportable	0.01231715	2024-06-12
LAB0000013	1000012	2024-06-06	B	KP.3.3	0.37277938	2024-06-12
LAB0000013	1000012	2024-06-06	B	KP.1.1.3	0.34917124	2024-06-12
LAB0000013	1000012	2024-06-06	B	KP.3.2	0.20904538	2024-06-12
LAB0000013	1000012	2024-06-06	B	JN.1.16.1	0.0441538	2024-06-12
LAB0000013	1000012	2024-06-06	B	JN.1.58.2	0.00877811	2024-06-12
LAB0000013	1000012	2024-06-06	B	JN.1.54.1	0.00197757	2024-06-12
LAB0000013	1000012	2024-06-06	B	KY.1	0.00168413	2024-06-12
LAB0000013	1000012	2024-06-06	B	KP.1.1.1	0.0017315	2024-06-12
LAB0000013	1000012	2024-06-06	B	KR.1.1	0.00134019	2024-06-12
LAB0000013	1000012	2024-06-06	B	LF.1	0.00106005	2024-06-12
LAB0000013	1000012	2024-06-06	B	JN.1.26	0.00086408	2024-06-12
LAB0000013	1000012	2024-06-06	B	LF.2	0.00074683	2024-06-12
LAB0000013	1000012	2024-06-06	B	unreportable	0.00666774	2024-06-12
LAB0000014	1000013	2024-06-06	W	KP.3	0.54226295	2024-06-12
LAB0000014	1000013	2024-06-06	W	LB.1	0.43027622	2024-06-12
LAB0000014	1000013	2024-06-06	W	KP.3.3	0.00321451	2024-06-12
LAB0000014	1000013	2024-06-06	W	KP.1.2	0.00206416	2024-06-12
LAB0000014	1000013	2024-06-06	W	LF.2	0.00188949	2024-06-12
LAB0000014	1000013	2024-06-06	W	JN.1.18.2	0.00129416	2024-06-12
LAB0000014	1000013	2024-06-06	W	KY.1	0.00146568	2024-06-12
LAB0000014	1000013	2024-06-06	W	JN.1.4.6	0.00127105	2024-06-12
LAB0000014	1000013	2024-06-06	W	KP.3.2.2	0.00089043	2024-06-12
LAB0000014	1000013	2024-06-06	W	JN.1.54.1	0.00108036	2024-06-12
LAB0000014	1000013	2024-06-06	W	unreportable	0.01429099	2024-06-12
LAB0000015	1000014	2024-06-07	X	JN.1.11.1	0.63823881	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.3.1	0.17447119	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.3	0.09814991	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.2.3	0.06139319	2024-06-12
LAB0000015	1000014	2024-06-07	X	JN.1.7.4	0.00326447	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.1.1.3	0.00272993	2024-06-12
LAB0000015	1000014	2024-06-07	X	JN.1.58.1	0.00174416	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.2.2	0.00255796	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.2.15	0.00131106	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.2.12	0.00139211	2024-06-12
LAB0000015	1000014	2024-06-07	X	JN.1.51.1	0.00127358	2024-06-12
LAB0000015	1000014	2024-06-07	X	JN.1.19	0.00115818	2024-06-12
LAB0000015	1000014	2024-06-07	X	KP.2.10	0.00088101	2024-06-12
LAB0000015	1000014	2024-06-07	X	unreportable	0.01143443	2024-06-12
LAB0000016	1000015	2024-06-06	A	KP.2.3	0.30745786	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.7.4	0.23576701	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.26	0.17020928	2024-06-12
LAB0000016	1000015	2024-06-06	A	KP.5	0.07762261	2024-06-12
LAB0000016	1000015	2024-06-06	A	LB.1	0.11674411	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.32.1	0.03964239	2024-06-12
LAB0000016	1000015	2024-06-06	A	KS.1	0.0144734	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.8.1	0.00164002	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.58.2	0.00190665	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.55	0.00238096	2024-06-12
LAB0000016	1000015	2024-06-06	A	LA.1	0.00180758	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.17	0.0014236	2024-06-12
LAB0000016	1000015	2024-06-06	A	LF.1	0.00151211	2024-06-12
LAB0000016	1000015	2024-06-06	A	LF.2	0.00196508	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.54.1	0.00140614	2024-06-12
LAB0000016	1000015	2024-06-06	A	JN.1.29.1	0.00145533	2024-06-12
LAB0000016	1000015	2024-06-06	A	KP.1.1.1	0.00139773	2024-06-12
LAB0000016	1000015	2024-06-06	A	KV.2	0.00114884	2024-06-12
LAB0000016	1000015	2024-06-06	A	unreportable	0.02003929	2024-06-12
LAB0000017	1000016	2024-06-06	C	JN.1.11.1	0.37136633	2024-06-12
LAB0000017	1000016	2024-06-06	C	LB.1	0.18951313	2024-06-12
LAB0000017	1000016	2024-06-06	C	KP.2.15	0.16999871	2024-06-12
LAB0000017	1000016	2024-06-06	C	KP.2	0.1434724	2024-06-12
LAB0000017	1000016	2024-06-06	C	KP.1.1.1	0.09892921	2024-06-12
LAB0000017	1000016	2024-06-06	C	KP.2.12	0.00290513	2024-06-12
LAB0000017	1000016	2024-06-06	C	KP.2.2	0.00264191	2024-06-12
LAB0000017	1000016	2024-06-06	C	JN.1.46	0.00187233	2024-06-12
LAB0000017	1000016	2024-06-06	C	KY.1	0.00157894	2024-06-12
LAB0000017	1000016	2024-06-06	C	KP.2.10	0.00096761	2024-06-12
LAB0000017	1000016	2024-06-06	C	LH.1	0.00099746	2024-06-12
LAB0000017	1000016	2024-06-06	C	unreportable	0.01575683	2024-06-12
LAB0000018	1000017	2024-06-05	K	LB.1	0.37456849	2024-06-12
LAB0000018	1000017	2024-06-05	K	KP.2	0.22205628	2024-06-12
LAB0000018	1000017	2024-06-05	K	KP.1.1	0.16915854	2024-06-12
LAB0000018	1000017	2024-06-05	K	JN.1.16.1	0.10631565	2024-06-12
LAB0000018	1000017	2024-06-05	K	KP.3.3	0.08240103	2024-06-12
LAB0000018	1000017	2024-06-05	K	JN.1.58.2	0.01649402	2024-06-12
LAB0000018	1000017	2024-06-05	K	LF.2	0.00452801	2024-06-12
LAB0000018	1000017	2024-06-05	K	KP.3.1	0.00250219	2024-06-12
LAB0000018	1000017	2024-06-05	K	KP.2.15	0.00240412	2024-06-12
LAB0000018	1000017	2024-06-05	K	JN.1.18.4	0.00206044	2024-06-12
LAB0000018	1000017	2024-06-05	K	KP.2.2	0.00106685	2024-06-12
LAB0000018	1000017	2024-06-05	K	unreportable	0.01644438	2024-06-12
LAB0000019	1000018	2024-06-19	G	KP.2.10	0.32867803	2024-06-26
LAB0000019	1000018	2024-06-19	G	LB.1	0.26010213	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.3.3	0.10592458	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.3.1	0.10832534	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.1.2	0.11035309	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.2.9	0.04682262	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.1.1.3	0.02259626	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.2.15	0.00685159	2024-06-26
LAB0000019	1000018	2024-06-19	G	LF.2	0.00135451	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.4.2.2	0.00110179	2024-06-26
LAB0000019	1000018	2024-06-19	G	KP.3.2.2	0.0018992	2024-06-26
LAB0000019	1000018	2024-06-19	G	unreportable	0.00599086	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.5	0.22709191	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.3.3	0.15131634	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.2.15	0.18314577	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.2	0.11690112	2024-06-26
LAB0000020	1000019	2024-06-20	A	JN.1.39.1	0.12921459	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.3.1	0.04795475	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.2.3	0.04246491	2024-06-26
LAB0000020	1000019	2024-06-20	A	LB.1	0.07177381	2024-06-26
LAB0000020	1000019	2024-06-20	A	JN.1.11.1	0.0069664	2024-06-26
LAB0000020	1000019	2024-06-20	A	JN.1.39.2	0.00347248	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.2.2	0.00214918	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.4.2.2	0.00196344	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.3	0.00174548	2024-06-26
LAB0000020	1000019	2024-06-20	A	JN.1.54.1	0.00128853	2024-06-26
LAB0000020	1000019	2024-06-20	A	KP.2.8	0.00115088	2024-06-26
LAB0000020	1000019	2024-06-20	A	KV.2	0.00099709	2024-06-26
LAB0000020	1000019	2024-06-20	A	unreportable	0.01040334	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.3	0.61163583	2024-06-26
LAB0000021	1000020	2024-06-20	C	JN.1.16.1	0.19686163	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.2	0.09457491	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.3.3	0.02913235	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.4.1	0.02269765	2024-06-26
LAB0000021	1000020	2024-06-20	C	LF.2	0.0078993	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.2.10	0.00383553	2024-06-26
LAB0000021	1000020	2024-06-20	C	JN.1.26	0.00373731	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.2.15	0.00306996	2024-06-26
LAB0000021	1000020	2024-06-20	C	JN.1.54.1	0.0034619	2024-06-26
LAB0000021	1000020	2024-06-20	C	JN.1.58.2	0.00141572	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.2.2	0.00202511	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.1.1.1	0.00239587	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.4.2.2	0.00193149	2024-06-26
LAB0000021	1000020	2024-06-20	C	KP.2.12	0.00125474	2024-06-26
LAB0000021	1000020	2024-06-20	C	JN.1.5	0.00127374	2024-06-26
LAB0000021	1000020	2024-06-20	C	LF.3	0.00117921	2024-06-26
LAB0000021	1000020	2024-06-20	C	unreportable	0.01161775	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.3.1	0.16131388	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.16.1	0.16714576	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.1.1	0.09652566	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.3.3	0.07948879	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.3.2	0.09060679	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.2.2	0.1021675	2024-06-26
LAB0000022	1000021	2024-06-20	W	LB.1	0.05656896	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.2	0.04869047	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.1.1.3	0.03907911	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.1.1.1	0.04752992	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.7.3	0.01381966	2024-06-26
LAB0000022	1000021	2024-06-20	W	LF.2	0.01113839	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.18	0.01068373	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.9.2	0.00923421	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.40	0.00617579	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.3.2.2	0.00520249	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.44.1	0.00416965	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.2.10	0.00371986	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.8.2	0.00308374	2024-06-26
LAB0000022	1000021	2024-06-20	W	LE.1	0.0021626	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.54.1	0.00195269	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.54	0.00178648	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.51.1	0.0022464	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.34	0.00139306	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.43.1	0.00174614	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.51	0.00141411	2024-06-26
LAB0000022	1000021	2024-06-20	W	KY.1	0.00150834	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.55.1	0.00135229	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.58.2	0.0017098	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.26	0.0015277	2024-06-26
LAB0000022	1000021	2024-06-20	W	KP.3.2.1	0.00142538	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.37	0.00153099	2024-06-26
LAB0000022	1000021	2024-06-20	W	JN.1.18.4	0.00117882	2024-06-26
LAB0000022	1000021	2024-06-20	W	unreportable	0.02072083	2024-06-26
LAB0000023	1000022	2024-06-20	B	JN.1.11.1	0.52794417	2024-06-26
LAB0000023	1000022	2024-06-20	B	KP.3.1.1	0.20303581	2024-06-26
LAB0000023	1000022	2024-06-20	B	KP.2.3	0.14387614	2024-06-26
LAB0000023	1000022	2024-06-20	B	JN.1.11	0.11622593	2024-06-26
LAB0000023	1000022	2024-06-20	B	KP.2.15	0.00178175	2024-06-26
LAB0000023	1000022	2024-06-20	B	KP.5	0.00126092	2024-06-26
